match_year,team_A,team_B,score_A,score_B
2023-2024,Real Madrid,Alaves,1,0
2023-2024,Real Madrid,Villarreal,4,1
2023-2024,Real Madrid,1. FC Union Berlin,3,2
2023-2024,Real Madrid,Real Betis,1,1
2023-2024,Real Madrid,Granada,2,0
2023-2024,Real Madrid,Napoli,4,2
2023-2024,Real Madrid,Cadiz,3,0
2023-2024,Real Madrid,Valencia,5,1
2023-2024,Real Madrid,Braga,3,0
2023-2024,Real Madrid,Rayo Vallecano,0,0
2023-2024,Real Madrid,Barcelona,2,1
2023-2024,Real Madrid,Braga,2,1
2023-2024,Real Madrid,Sevilla,1,1
2023-2024,Real Madrid,Osasuna,4,0
2023-2024,Real Madrid,Napoli,3,2
2023-2024,Real Madrid,Girona,3,0
2023-2024,Real Madrid,Las Palmas,2,0
2023-2024,Real Madrid,Atletico Madrid,1,3
2023-2024,Real Madrid,1. FC Union Berlin,1,0
2023-2024,Real Madrid,Real Sociedad,2,1
2023-2024,Real Madrid,Getafe,2,1
2023-2024,Real Madrid,Celta Vigo,1,0
2023-2024,Real Madrid,Almeria,3,1
2023-2024,Real Madrid,Athletic Bilbao,2,0
2023-2024,Real Madrid,Juventus,1,3
2023-2024,Real Madrid,Barcelona,0,3
2023-2024,Real Madrid,Manchester United,2,0
2023-2024,Real Madrid,AC Milan,3,2
2022-2023,Real Madrid,Athletic Bilbao,1,1
2022-2023,Real Madrid,Sevilla,2,1
2022-2023,Real Madrid,Rayo Vallecano,2,1
2022-2023,Real Madrid,Valencia,0,1
2022-2023,Real Madrid,Manchester City,0,4
2022-2023,Real Madrid,Getafe,1,0
2022-2023,Real Madrid,Manchester City,1,1
2022-2023,Real Madrid,Osasuna,2,1
2022-2023,Real Madrid,Real Sociedad,0,2
2022-2023,Real Madrid,Almeria,4,2
2022-2023,Real Madrid,Girona,2,4
2022-2023,Real Madrid,Celta Vigo,2,0
2022-2023,Real Madrid,Chelsea,2,0
2022-2023,Real Madrid,Cadiz,2,0
2022-2023,Real Madrid,Chelsea,2,0
2022-2023,Real Madrid,Villarreal,2,3
2022-2023,Real Madrid,Barcelona,4,0
2022-2023,Real Madrid,Real Valladolid,6,0
2022-2023,Real Madrid,Barcelona,1,2
2022-2023,Real Madrid,Liverpool,1,0
2022-2023,Real Madrid,Espanyol,3,1
2022-2023,Real Madrid,Real Betis,0,0
2022-2023,Real Madrid,Barcelona,0,1
2022-2023,Real Madrid,Atletico Madrid,1,1
2022-2023,Real Madrid,Liverpool,5,2
2022-2023,Real Madrid,Osasuna,2,0
2022-2023,Real Madrid,Elche,4,0
2022-2023,Real Madrid,Al-Hilal,5,3
2022-2023,Real Madrid,Al Ahly,4,1
2022-2023,Real Madrid,Real Mallorca,0,1
2022-2023,Real Madrid,Valencia,2,0
2022-2023,Real Madrid,Real Sociedad,0,0
2022-2023,Real Madrid,Atletico Madrid,3,1
2022-2023,Real Madrid,Athletic Bilbao,2,0
2022-2023,Real Madrid,Villarreal,3,2
2022-2023,Real Madrid,Barcelona,1,3
2022-2023,Real Madrid,Valencia,1,1
2022-2023,Real Madrid,Villarreal,1,2
2022-2023,Real Madrid,Cacereño,1,0
2022-2023,Real Madrid,Real Valladolid,2,0
2022-2023,Real Madrid,Cadiz,2,1
2022-2023,Real Madrid,Rayo Vallecano,2,3
2022-2023,Real Madrid,Celtic,5,1
2022-2023,Real Madrid,Girona,1,1
2022-2023,Real Madrid,RB Leipzig,2,3
2022-2023,Real Madrid,Sevilla,3,1
2022-2023,Real Madrid,Elche,3,0
2022-2023,Real Madrid,Barcelona,3,1
2022-2023,Real Madrid,Shakhtar Donetsk,1,1
2022-2023,Real Madrid,Getafe,1,0
2022-2023,Real Madrid,Shakhtar Donetsk,2,1
2022-2023,Real Madrid,Osasuna,1,1
2022-2023,Real Madrid,Atletico Madrid,2,1
2022-2023,Real Madrid,RB Leipzig,2,0
2022-2023,Real Madrid,Real Mallorca,4,1
2022-2023,Real Madrid,Celtic,3,0
2022-2023,Real Madrid,Real Betis,2,1
2022-2023,Real Madrid,Espanyol,3,1
2022-2023,Real Madrid,Celta Vigo,4,1
2022-2023,Real Madrid,Almeria,2,1
2022-2023,Real Madrid,Eintracht Frankfurt,2,0
2022-2023,Real Madrid,Juventus,2,0
2022-2023,Real Madrid,Club America,2,2
2022-2023,Real Madrid,Barcelona,0,1
2021-2022,Real Madrid,Liverpool,1,0
2021-2022,Real Madrid,Real Betis,0,0
2021-2022,Real Madrid,Cadiz,1,1
2021-2022,Real Madrid,Levante,6,0
2021-2022,Real Madrid,Atletico Madrid,0,1
2021-2022,Real Madrid,Manchester City,3,1
2021-2022,Real Madrid,Espanyol,4,0
2021-2022,Real Madrid,Manchester City,3,4
2021-2022,Real Madrid,Osasuna,3,1
2021-2022,Real Madrid,Sevilla,3,2
2021-2022,Real Madrid,Chelsea,2,3
2021-2022,Real Madrid,Getafe,2,0
2021-2022,Real Madrid,Chelsea,3,1
2021-2022,Real Madrid,Celta Vigo,2,1
2021-2022,Real Madrid,Barcelona,0,4
2021-2022,Real Madrid,Real Mallorca,3,0
2021-2022,Real Madrid,Paris Saint-Germain,3,1
2021-2022,Real Madrid,Real Sociedad,4,1
2021-2022,Real Madrid,Rayo Vallecano,1,0
2021-2022,Real Madrid,Alaves,3,0
2021-2022,Real Madrid,Paris Saint-Germain,0,1
2021-2022,Real Madrid,Villarreal,0,0
2021-2022,Real Madrid,Granada,1,0
2021-2022,Real Madrid,Athletic Bilbao,0,1
2021-2022,Real Madrid,Elche,2,2
2021-2022,Real Madrid,Elche,2,1
2021-2022,Real Madrid,Barcelona,3,2
2021-2022,Real Madrid,Valencia,4,1
2021-2022,Real Madrid,Alcoyano,3,1
2021-2022,Real Madrid,Getafe,0,1
2021-2022,Real Madrid,Athletic Bilbao,2,1
2021-2022,Real Madrid,Cadiz,0,0
2021-2022,Real Madrid,Atletico Madrid,2,0
2021-2022,Real Madrid,Inter Milan,2,0
2021-2022,Real Madrid,Real Sociedad,2,0
2021-2022,Real Madrid,Athletic Bilbao,1,0
2021-2022,Real Madrid,Sevilla,2,1
2021-2022,Real Madrid,Sheriff Tiraspol (Mol),3,0
2021-2022,Real Madrid,Granada,4,1
2021-2022,Real Madrid,Rayo Vallecano,2,1
2021-2022,Real Madrid,Shakhtar Donetsk,2,1
2021-2022,Real Madrid,Elche,2,1
2021-2022,Real Madrid,Osasuna,0,0
2021-2022,Real Madrid,Barcelona,2,1
2021-2022,Real Madrid,Shakhtar Donetsk,5,0
2021-2022,Real Madrid,Espanyol,1,2
2021-2022,Real Madrid,Sheriff Tiraspol (Mol),1,2
2021-2022,Real Madrid,Villarreal,0,0
